na_item,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
B1GQ,CP_MEUR,MT	5757.5 	6128.7 	6138.6 	6599.5 	6832.0 	7168.0 	7645.3 	8508.3 	9657.9 	10346.5 	11302.8 	12323.8 
B1GQ,CP_MEUR,NL	619170.0 	647198.0 	624842.0 	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	774039.0 p
B1GQ,CP_MEUR,NO	293167.0 	317021.5 	278246.6 	323760.9 	358339.5 	396523.5 	393408.7 	375947.3 	347632.1 	333471.3 	353316.4 	367893.7 
B1GQ,CP_MEUR,PL	313872.4 	366180.6 	317081.3 	361803.9 	380241.7 	389376.8 	394733.8 	411163.2 	430258.1 	426555.7 	467312.9 	496360.9 
B1GQ,CP_MEUR,PT	175483.4 	179102.8 	175416.4 	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	203896.2 p
B1GQ,CP_MEUR,RO	127632.0 	146590.6 	125213.9 	125408.8 	131925.4 	133147.1 	143801.6 	150458.0 	160297.8 	170393.6 	187772.7 	202883.6 
B1GQ,CP_MEUR,RS	31557.9 	35712.5 	32486.2 	31545.8 	35431.7 	33679.3 	36426.7 	35467.5 	35715.5 	36723.0 	39183.3 	42855.5 
B1GQ,CP_MEUR,SE	356548.7 	353309.7 	313612.0 	374329.5 	411873.8 	428825.4 	440191.2 	437540.9 	454184.3 	466347.6 	479605.4 	471196.2 
B1GQ,CP_MEUR,SI	35073.5 	37925.7 	36254.9 	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40366.6 	42987.1 	45754.8 
B1GQ,CP_MEUR,SK	56339.3 	66098.1 	64095.5 	68093.0 	71214.4 	73483.8 	74354.8 	76255.9 	79758.2 	81038.4 	84517.0 	89721.0 
B1GQ,CP_MEUR,TR	492841.2 	521812.2 	461925.9 	581023.8 	596491.2 	678483.7 	714313.4 	703411.6 	772978.8 	780224.9 	754902.2 	652519.9 
B1GQ,CP_MEUR,UK	2264694.5 	1996698.4 	1737000.2 	1867396.0 	1912457.9 	2111708.4 	2098425.7 	2309785.1 	2640934.6 	2435055.2 	2363109.3 	2419185.9 
B1GQ,CP_MEUR,XK	: 	3882.8 	4069.6 	4402.0 	4814.5 	5058.8 	5326.6 	5567.5 	5807.0 	6070.1 	6413.8 	6725.9 
B1GQ,CP_MPPS,AL	17814.5 	19164.7 	19625.8 	21463.5 	22373.2 	23073.7 	22482.3 	23978.1 	25242.3 	24833.1 	26235.0 p	27130.9 e
B1GQ,CP_MPPS,AT	269375.1 	271697.4 	259691.0 	268855.2 	281428.6 	295983.7 	298526.5 	307426.7 	323911.4 	329305.5 	335060.8 	347475.7 
B1GQ,CP_MPPS,BA	: 	26786.8 	25658.2 	26507.2 	27556.2 	28073.3 	28670.2 	29346.2 	30956.8 	31592.9 	32504.7 	33777.8 
B1GQ,CP_MPPS,BE	321945.5 	320626.3 	310026.1 	332168.7 	340955.1 	354995.4 	358013.1 	371233.2 	391482.1 	394511.0 	403380.7 	415874.4 
B1GQ,CP_MPPS,BG	79608.0 	84881.6 	80268.2 	84110.7 	86823.0 	89678.0 	88498.6 	93482.5 	98925.3 	102154.7 	105976.3 	111043.0 
B1GQ,CP_MPPS,CH	309651.5 	317799.3 	304888.9 	317784.7 	335384.4 	349625.8 	357199.9 	373646.0 	397904.2 	391844.5 	396246.7 p	410533.9 p
B1GQ,CP_MPPS,CY	20773.1 	21651.7 	20827.6 	21214.3 	21385.1 	20785.9 	19233.5 	18879.1 	20204.4 	21299.0 	22380.1 	23733.0 p
B1GQ,CP_MPPS,CZ	221791.3 	228506.7 	219218.3 	221779.3 	228036.2 	230741.1 	235471.8 	250315.6 	266973.2 	270823.9 	284418.8 	299098.5 
B1GQ,CP_MPPS,DE	2458444.8 	2452911.4 	2293681.8 	2437573.1 	2576410.6 	2635514.5 	2665620.5 	2806336.6 	2926699.0 	2966521.2 	3038209.5 	3117276.4 
B1GQ,CP_MPPS,DK	175437.3 	179202.6 	169445.5 	182557.0 	186611.6 	189337.4 	192740.3 	199268.1 	209501.5 	212018.2 	220969.0 	228589.1 
B1GQ,CP_MPPS,EA	9197874.4 	9222505.2 	8782909.8 	9103810.8 	9389996.3 	9515473.7 	9567823.1 	9906869.3 	10473640.9 	10584839.0 	10862766.0 	11185576.2 
B1GQ,CP_MPPS,EA19	9428901.9 	9433075.3 	8874902.4 	9201601.0 	9472958.9 	9603776.5 	9659221.4 	9967751.3 	10473640.9 	10584839.0 	10862766.0 	11185576.2 
B1GQ,CP_MPPS,EE	24501.7 	24123.0 	20905.6 	22209.8 	24817.4 	26181.2 	26764.3 	28232.1 	29055.2 	29592.0 	31325.6 	33654.2 
B1GQ,CP_MPPS,EL	266778.8 	270121.4 	256502.0 	239570.5 	219010.3 p	211059.3 p	210225.4 p	215488.7 p	218732.7 p	213819.8 p	217034.7 p	224838.2 p
B1GQ,CP_MPPS,ES	1209354.0 	1207962.1 	1131818.6 	1129225.6 	1123804.5 	1121282.6 	1110800.5 	1148671.2 	1218362.0 	1236203.1 	1279440.7 p	1314274.3 p
B1GQ,CP_MPPS,EU28	13003688.5 	13082102.5 	12324698.9 	12845663.4 	13235225.0 	13501734.0 	13615090.5 	14091451.2 	14854106.4 	14984271.9 	15410259.5 	15898311.6 
B1GQ,CP_MPPS,FI	164802.3 	168308.5 	154212.4 	159883.6 	166331.8 	167239.6 	165788.4 	168107.8 	175126.5 	175970.7 	181773.9 	189221.5 
B1GQ,CP_MPPS,FR	1798854.7 	1785382.7 	1706910.8 	1786548.7 	1845706.7 	1869761.4 	1916268.3 	1962252.2 	2043171.4 	2045250.1 	2089517.2 p	2151219.6 p
B1GQ,CP_MPPS,HR	68769.3 	70759.0 	65480.0 	64960.1 	66990.1 	68170.4 	68057.4 	68927.1 	72688.1 	74440.5 	76746.7 	79834.9 p
B1GQ,CP_MPPS,HU	157875.7 	164180.6 	157618.2 	165070.8 	172235.4 	173551.7 	178044.3 	186220.7 	197231.9 	193998.6 	201529.9 	215190.9 
B1GQ,CP_MPPS,IE	169558.9 	157111.8 	143564.2 	151091.1 	154992.9 	160795.2 	162695.4 	175333.4 	243971.9 	243977.5 	263404.5 	286012.8 
B1GQ,CP_MPPS,IS	10571.3 	10865.8 	10150.6 	9632.7 	9811.7 	10162.3 	10502.6 	11032.2 	12143.6 	12771.6 	13396.6 	14397.8 
B1GQ,CP_MPPS,IT	1643076.1 	1651397.7 	1555494.5 	1594805.1 	1639525.3 	1641802.9 	1606886.2 	1621875.0 	1684229.4 	1728065.6 	1761123.7 	1790370.2 
B1GQ,CP_MPPS,LT	50863.8 	52428.6 	43649.6 	47498.3 b	52141.6 	55650.9 	57969.7 	60860.5 	62913.0 	63298.1 	66535.0 	70060.9 
B1GQ,CP_MPPS,LU	33229.2 	33477.3 	31148.6 	33215.0 	35979.5 	36765.0 	38156.3 	41539.8 	44403.9 	45800.2 	46566.7 	48783.2 
B1GQ,CP_MPPS,LV	32879.0 	33493.8 	27565.9 	28231.5 	30751.2 	32734.3 	33552.0 	35043.3 	36895.4 	36888.8 	38558.6 	41350.4 
B1GQ,CP_MPPS,ME	6319.3 	6736.4 	6124.6 	6463.5 	6770.4 	6502.5 	6786.0 	7045.4 	7637.2 	8088.8 	8505.8 	9119.7 
B1GQ,CP_MPPS,MK	15737.0 	17019.8 	17174.6 	17865.6 	18154.8 	18560.5 	19298.2 	20474.5 	21609.3 	22424.1 	22546.2 	24051.0 p
B1GQ,CP_MPPS,MT	8346.1 	8473.7 	8200.0 	8821.5 	8977.3 	9344.6 	9725.7 	10696.0 	12103.9 	12703.9 	13717.4 	14582.4 
B1GQ,CP_MPPS,NL	592779.5 	603284.9 	560275.8 	572707.2 	586860.7 	598595.6 	607881.3 	612050.3 	640259.8 	636078.5 	659300.3 	687435.8 p
B1GQ,CP_MPPS,NO	216907.7 	232553.7 	203359.7 	216698.8 	231967.8 	247880.3 	249871.8 	249522.5 	235418.1 	219901.5 	231066.8 	246575.3 
B1GQ,CP_MPPS,PL	527540.4 	551669.5 	558438.6 	612790.9 	656187.2 	685603.1 	690781.6 	717641.2 	766537.1 	766175.7 	802597.8 	842903.9 
B1GQ,CP_MPPS,PT	223427.3 	222488.8 	212705.4 	220570.2 	213219.4 	210095.3 	214608.5 	220365.5 	230907.7 	233198.0 	238395.1 	243334.3 p
B1GQ,CP_MPPS,RO	235612.8 	272375.5 	257680.7 	262887.9 	272196.9 	286984.8 	290632.6 	302656.8 	322072.1 	342120.5 	368342.6 	389035.5 
B1GQ,CP_MPPS,RS	68305.0 	73373.5 	69799.3 	71409.0 	75025.9 	75811.2 	76991.5 	77052.8 	79554.4 	80185.2 	81468.9 	86217.2 
B1GQ,CP_MPPS,SE	306111.9 	305798.2 	283976.4 	302717.0 	317259.5 	325937.5 	325396.8 	336247.3 	360598.7 	356797.6 	368434.0 	383746.6 
B1GQ,CP_MPPS,SI	45821.3 	47288.2 	42725.9 	43622.1 	44807.2 	45153.4 	45358.7 	46920.6 	49052.5 	49865.7 	52735.9 	55711.9 
B1GQ,CP_MPPS,SK	93934.1 	100857.0 	94569.2 	103779.7 	106093.9 	110072.5 	111219.6 	115799.2 	121950.5 	121788.1 	123839.0 	130150.5 
B1GQ,CP_MPPS,TR	851732.0 	893367.8 	840200.7 	964532.2 	1088873.8 	1163202.6 	1242141.4 	1364441.8 	1512043.5 	1518597.8 	1598640.2 	1636503.7 
B1GQ,CP_MPPS,UK	1799577.1 	1790589.9 	1657864.0 	1745592.8 	1773525.5 	1844416.2 	1883032.0 	1965090.0 	2080279.0 	2077985.4 	2116699.8 	2164943.2 
